17:26:03.926 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:*
17:26:03.926 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:@
17:26:03.926 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:
17:26:03.926 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:â
17:26:03.926 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:¦
17:26:03.927 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:¼
17:26:03.927 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:ï
17:26:03.927 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:
17:26:03.927 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:¿
17:26:03.927 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:*
17:26:03.927 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:â
17:26:03.927 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:¦
17:26:03.927 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:
17:26:03.927 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:ï
17:26:03.927 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:
17:26:03.928 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:¼
17:26:03.928 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:@
17:26:03.928 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:ï
17:26:03.928 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:
17:26:03.928 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:ï
17:26:03.928 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:
17:26:03.928 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:ï
17:26:03.928 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:
17:26:03.929 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:¼
17:26:03.929 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:*
17:26:03.929 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:ï
17:26:03.929 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:
17:26:03.929 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:ï
17:26:03.929 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:
17:26:03.929 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:ï
17:26:03.929 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:¥
17:26:03.929 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:¼
17:26:03.929 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:

17:26:03.929 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:
17:26:03.930 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:æ
17:26:03.930 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:
17:26:03.930 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:
17:26:03.930 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:ç
17:26:03.930 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:
17:26:03.930 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:
17:26:03.930 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:å
17:26:03.930 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:
17:26:03.930 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:¡
17:26:03.930 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:è
17:26:03.930 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:¾
17:26:03.931 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:»
17:26:03.931 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:ä
17:26:03.931 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:
17:26:03.931 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:¼
17:26:03.931 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:ä
17:26:03.931 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:
17:26:03.931 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:¤
17:26:03.931 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:æ
17:26:03.931 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:
17:26:03.931 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:²
17:26:03.931 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:ï
17:26:03.932 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:
17:26:03.932 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:
17:26:03.932 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:å
17:26:03.932 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:°
17:26:03.932 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:º
17:26:03.932 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:å
17:26:03.932 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:¶
17:26:03.932 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:¹
17:26:03.932 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:ç
17:26:03.932 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:
17:26:03.932 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:￿
17:26:20.605 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:154
17:26:20.609 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:229
17:26:20.609 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:189
17:26:20.609 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:176
17:26:20.610 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:231
17:26:20.610 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:178
17:26:20.610 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:143
17:26:20.610 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:228
17:26:20.610 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:157
17:26:20.610 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:130
17:26:20.610 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:229
17:26:20.611 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:136
